thumbnailUrl,logoUrl,name,date,city,state,eventType
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/670/thumb/Hophacks-backsplash_2.0.png?1688652948,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/670/thumb/HopHacks-logo_2.0.png?1688652948,HopHacks,Sep 15th - 17th,Baltimore,Maryland,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/713/thumb/Pitt_Challenge_Background_300x300.jpg?1692037526,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/713/thumb/Pitt_Challenge_100x100.jpg?1692037526,Pitt Challenge,Sep 15th - 17th,Pittsburgh,Pennsylvania,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/641/thumb/Backsplash_%283%29.png?1687284286,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/641/thumb/ShellHacks_Logo.png?1687284285,ShellHacks,Sep 15th - 17th,Miami,Florida,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/677/thumb/Event_Hero_Image.jpg?1689692406,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/677/thumb/Icon.jpg?1689692406,TechTogether Online,Sep 15th - 17th,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/667/thumb/backsplash.png?1687888462,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/667/thumb/logo_%281%29.png?1687888462,VTHacks 11,Sep 15th - 17th,Blacksburg,Virginia,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/635/thumb/BackSplash_300x300.png?1686945285,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/635/thumb/HackSMU_Logo_100x100.png?1686945284,HackSMU,Sep 16th - 17th,Dallas,Texas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/714/thumb/HackWesTX-Background.png?1692038284,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/714/thumb/Final_logo.png?1692038284,HackWesTX,Sep 16th - 17th,Lubbock,Texas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/644/thumb/Hackrice_Logo_%281__full__colored__bg%29_%281%29.png?1693254995,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/644/thumb/Hackrice_Logo_%284__h__bg%29_%281%29.PNG?1693254867,HackRice,Sep 22nd - 24th,Houston,Texas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/715/thumb/MLH_Background.png?1692038312,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/715/thumb/Profile_Photo__1_.png?1692038310,TechNova,Sep 22nd - 24th,"Waterloo, Ontario",Canada,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/678/thumb/Event_Hero_Image.jpg?1689663330,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/678/thumb/Icon.jpg?1689663330,TransportHacks,Sep 22nd - 24th,Everywhere,Worldwide,Digital Only
